id	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq254	seq254	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	NA
seq255	seq255	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	intestinalis
seq256	seq256	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	mucilaginosa
seq257	seq257	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	NA
seq258	seq258	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	mucilaginosa
seq259	seq259	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
seq260	seq260	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	NA
seq261	seq261	Eukaryota	NA	NA	NA	NA	NA	NA
seq262	seq262	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_UCG-004	NA
seq263	seq263	Eukaryota	NA	NA	NA	NA	NA	NA
seq264	seq264	Eukaryota	NA	NA	NA	NA	NA	NA
seq265	seq265	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
seq266	seq266	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	NA
seq267	seq267	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	NA
seq268	seq268	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	faecium
seq269	seq269	Eukaryota	NA	NA	NA	NA	NA	NA
seq270	seq270	Eukaryota	NA	NA	NA	NA	NA	NA
